Tempo;Corrente;Velocidade;Degrau
0.0;28.47;58.8;0
0.001;28.48;58.8;0
0.002;28.45;58.8;0
0.003;28.4;58.8;0
0.004;28.38;58.76;0
0.005;28.4;58.73;0
0.006;28.44;58.7;0
0.007;28.47;58.66;0
0.008;28.51;58.63;0
0.009000000000000001;28.48;58.63;0
0.01;28.43;58.63;0
0.011;28.4;58.63;0
0.012;28.35;58.63;0
0.013000000000000001;28.36;58.63;0
0.014;28.4;58.63;0
0.015;28.43;58.63;0
0.016;28.47;58.63;0
0.017;28.47;58.63;0
0.018000000000000002;28.4;58.63;0
0.019;28.35;58.63;0
0.02;28.31;58.59;0
0.021;28.34;58.56;0
0.022;28.38;58.53;0
0.023;28.43;58.49;0
0.024;28.46;58.49;0
0.025;28.43;58.49;0
0.026000000000000002;28.38;58.49;0
0.027;28.34;58.49;0
0.028;28.33;58.49;0
0.029;28.36;58.49;0
0.03;28.4;58.53;0
0.031;28.47;58.56;0
0.032;28.48;58.59;0
0.033;28.47;58.63;0
0.034;28.44;58.66;0
0.035;28.37;58.66;0
0.036000000000000004;28.37;58.66;0
0.037;28.4;58.66;0
0.038;28.44;58.66;0
0.039;28.51;58.66;0
0.04;28.51;58.66;0
0.041;28.46;58.66;0
0.042;28.41;58.66;0
0.043000000000000003;28.36;58.66;0
0.044;28.35;58.66;0
0.045;28.4;58.7;0
0.046;28.45;58.73;0
0.047;28.49;58.76;0
0.048;28.5;58.8;0
0.049;28.44;58.83;0
0.05;28.42;58.86;0
0.051000000000000004;28.39;58.9;0
0.052000000000000005;28.4;58.93;0
0.053;28.45;58.97;0
0.054;28.49;59.0;0
0.055;28.52;59.03;0
0.056;28.52;59.07;0
0.057;28.51;59.1;0
0.058;28.46;59.13;0
0.059000000000000004;28.42;59.2;0
0.06;28.43;59.2;0
0.061;28.47;59.2;0
0.062;28.51;59.2;0
0.063;28.51;59.2;0
0.064;28.46;59.2;0
0.065;28.4;59.17;0
0.066;28.35;59.13;0
0.067;28.36;59.1;0
0.068;28.41;59.07;0
0.069;28.47;59.03;0
0.07;28.5;59.0;0
0.07100000000000001;28.5;58.97;0
0.07200000000000001;28.42;58.93;0
0.073;28.36;58.9;0
0.074;28.36;58.86;0
0.075;28.37;58.83;0
0.076;28.42;58.8;0
0.077;28.46;58.76;0
0.078;28.47;58.73;0
0.079;28.48;58.7;0
0.08;28.41;58.66;0
0.081;28.34;58.66;0
0.082;28.33;58.66;0
0.083;28.34;58.66;0
0.084;28.39;58.66;0
0.085;28.43;58.66;0
0.08600000000000001;28.43;58.66;0
0.08700000000000001;28.4;58.66;0
0.088;28.34;58.66;0
0.089;28.29;58.66;0
0.09;28.29;58.66;0
0.091;28.33;58.63;0
0.092;28.38;58.59;0
0.093;28.42;58.56;0
0.094;28.44;58.53;0
0.095;28.4;58.49;0
0.096;28.35;58.46;0
0.097;28.3;58.43;0
0.098;28.29;58.39;0
0.099;28.34;58.36;0
0.1;28.39;58.33;0
0.101;28.46;58.29;0
0.10200000000000001;28.46;58.26;0
0.10300000000000001;28.42;58.22;0
0.10400000000000001;28.38;58.19;0
0.105;28.34;58.19;0
0.106;28.35;58.19;0
0.107;28.4;58.19;0
0.108;28.43;58.19;0
0.109;28.47;58.19;0
0.11;28.48;58.19;0
0.111;28.45;58.19;0
0.112;28.39;58.22;0
0.113;28.36;58.26;0
0.114;28.37;58.29;0
0.115;28.41;58.33;0
0.116;28.47;58.33;0
0.117;28.5;58.33;0
0.11800000000000001;28.48;58.33;0
0.11900000000000001;28.44;58.33;0
0.12;28.39;58.33;0
0.121;28.38;58.33;0
0.122;28.4;58.29;0
0.123;28.43;58.26;0
0.124;28.48;58.22;0
0.125;28.51;58.19;0
0.126;28.47;58.19;0
0.127;28.4;58.19;0
0.128;28.34;58.19;0
0.129;28.33;58.19;0
0.13;28.33;58.19;0
0.131;28.39;58.19;0
0.132;28.43;58.19;0
0.133;28.46;58.22;0
0.134;28.45;58.26;0
0.135;28.39;58.29;0
0.136;28.36;58.29;0
0.137;28.36;58.29;0
0.138;28.37;58.29;0
0.139;28.42;58.29;0
0.14;28.46;58.29;0
0.14100000000000001;28.48;58.29;0
0.14200000000000002;28.44;58.29;0
0.14300000000000002;28.4;58.26;0
0.14400000000000002;28.36;58.22;0
0.145;28.36;58.19;0
0.146;28.39;58.16;0
0.147;28.44;58.16;0
0.148;28.49;58.16;0
0.149;28.51;58.16;0
0.15;28.47;58.16;0
0.151;28.42;58.16;0
0.152;28.39;58.16;0
0.153;28.39;58.16;0
0.154;28.4;58.19;0
0.155;28.45;58.22;0
0.156;28.48;58.26;0
0.157;28.48;58.26;0
0.158;28.42;58.26;0
0.159;28.37;58.26;0
0.16;28.35;58.26;0
0.161;28.36;58.26;0
0.162;28.41;58.26;0
0.163;28.47;58.26;0
0.164;28.5;58.22;0
0.165;28.48;58.19;0
0.166;28.44;58.16;0
0.167;28.39;58.12;0
0.168;28.38;58.09;0
0.169;28.39;58.06;0
0.17;28.42;58.02;0
0.171;28.48;57.99;0
0.17200000000000001;28.49;57.95;0
0.17300000000000001;28.48;57.92;0
0.17400000000000002;28.42;57.89;0
0.17500000000000002;28.36;57.85;0
0.176;28.37;57.82;0
0.177;28.36;57.79;0
0.178;28.42;57.75;0
0.179;28.46;57.72;0
0.18;28.46;57.68;0
0.181;28.43;57.65;0
0.182;28.38;57.62;0
0.183;28.33;57.58;0
0.184;28.29;57.55;0
0.185;28.32;57.55;0
0.186;28.37;57.55;0
0.187;28.41;57.55;0
0.188;28.44;57.58;0
0.189;28.42;57.62;0
0.19;28.37;57.65;0
0.191;28.33;57.68;0
0.192;28.33;57.72;0
0.193;28.36;57.75;0
0.194;28.43;57.79;0
0.195;28.48;57.79;0
0.196;28.49;57.79;0
0.197;28.45;57.79;0
0.198;28.4;57.79;0
0.199;28.36;57.79;0
0.2;28.37;57.79;0
0.201;28.41;57.79;0
0.202;28.45;57.79;0
0.203;28.5;57.79;0
0.20400000000000001;28.5;57.79;0
0.20500000000000002;28.47;57.79;0
0.20600000000000002;28.41;57.82;0
0.20700000000000002;28.38;57.85;0
0.20800000000000002;28.4;57.89;0
0.209;28.44;57.89;0
0.21;28.5;57.89;0
0.211;28.53;57.89;0
0.212;28.51;57.89;0
0.213;28.44;57.89;0
0.214;28.4;57.89;0
0.215;28.38;57.89;0
0.216;28.4;57.85;0
0.217;28.44;57.82;0
0.218;28.49;57.79;0
0.219;28.48;57.79;0
0.22;28.46;57.79;0
0.221;28.4;57.79;0
0.222;28.34;57.79;0
0.223;28.33;57.79;0
0.224;28.32;57.79;0
0.225;28.37;57.79;0
0.226;28.41;57.79;0
0.227;28.42;57.79;0
0.228;28.39;57.79;0
0.229;28.31;57.79;0
0.23;28.27;57.79;0
0.231;28.24;57.79;0
0.232;28.27;57.79;0
0.233;28.32;57.79;0
0.234;28.36;57.79;0
0.23500000000000001;28.39;57.79;0
0.23600000000000002;28.36;57.79;0
0.23700000000000002;28.31;57.82;0
0.23800000000000002;28.25;57.85;0
0.23900000000000002;28.24;57.89;0
0.24;28.27;57.89;0
0.241;28.33;57.89;0
0.242;28.36;57.89;0
0.243;28.36;57.89;0
0.244;28.34;57.89;0
0.245;28.29;57.89;0
0.246;28.25;57.89;0
0.247;28.25;57.89;0
0.248;28.26;57.85;0
0.249;28.29;57.82;0
0.25;28.34;57.82;0
0.251;28.36;57.82;0
0.252;28.33;57.82;0
0.253;28.28;57.82;0
0.254;28.21;57.82;0
0.255;28.22;57.82;0
0.256;28.26;57.82;0
0.257;28.31;57.82;0
0.258;28.35;57.82;0
0.259;28.34;57.82;0
0.26;28.3;57.82;0
0.261;28.23;57.79;0
0.262;28.2;57.75;0
0.263;28.22;57.72;0
0.264;28.27;57.68;0
0.265;28.34;57.65;0
0.266;28.36;57.62;0
0.267;28.34;57.58;0
0.268;28.27;57.55;0
0.269;28.22;57.55;0
0.27;28.22;57.55;0
0.271;28.22;57.58;0
0.272;28.25;57.62;0
0.273;28.3;57.65;0
0.274;28.33;57.68;0
0.275;28.31;57.72;0
0.276;28.26;57.75;0
0.277;28.2;57.79;0
0.278;28.17;57.82;0
0.279;28.21;57.82;0
0.28;28.25;57.82;0
0.281;28.3;57.82;0
0.28200000000000003;28.35;57.79;0
0.28300000000000003;28.32;57.75;0
0.28400000000000003;28.28;57.72;0
0.28500000000000003;28.25;57.68;0
0.28600000000000003;28.24;57.65;0
0.28700000000000003;28.26;57.62;0
0.28800000000000003;28.31;57.58;0
0.289;28.35;57.58;0
0.29;28.36;57.58;0
0.291;28.33;57.58;0
0.292;28.3;57.62;0
0.293;28.27;57.65;0
0.294;28.24;57.68;0
0.295;28.26;57.72;0
0.296;28.31;57.75;0
0.297;28.35;57.79;0
0.298;28.38;57.82;0
0.299;28.36;57.85;0
0.3;28.32;57.85;0
0.301;28.27;57.85;0
0.302;28.29;57.85;0
0.303;28.32;57.85;0
0.304;28.37;57.85;0
0.305;28.41;57.85;0
0.306;28.38;57.85;0
0.307;28.33;57.85;0
0.308;28.27;57.85;0
0.309;28.24;57.85;0
0.31;28.26;57.89;0
0.311;28.29;57.92;0
0.312;28.36;57.95;0
0.313;28.37;57.95;0
0.314;28.38;57.95;0
0.315;28.33;57.95;0
0.316;28.27;57.95;0
0.317;28.25;57.95;0
0.318;28.25;57.95;0
0.319;28.31;57.95;0
0.32;28.35;57.95;0
0.321;28.38;57.92;0
0.322;28.34;57.89;0
0.323;28.3;57.89;0
0.324;28.24;57.89;0
0.325;28.21;57.89;0
0.326;28.24;57.89;0
0.327;28.29;57.89;0
0.328;28.34;57.89;0
0.329;28.37;57.89;0
0.33;28.35;57.89;0
0.331;28.31;57.89;0
0.332;28.28;57.89;0
0.333;28.26;57.89;0
0.334;28.33;57.82;0
0.335;28.35;57.79;0
0.336;28.37;57.75;0
0.337;28.34;57.72;0
0.338;28.3;57.68;0
0.339;28.27;57.65;0
0.34;28.26;57.62;0
0.341;28.27;57.62;0
0.342;28.32;57.62;0
0.343;28.36;57.65;0
0.34400000000000003;28.38;57.68;0
0.34500000000000003;28.35;57.72;0
0.34600000000000003;28.33;57.75;0
0.34700000000000003;28.28;57.79;0
0.34800000000000003;28.29;57.82;0
0.34900000000000003;28.33;57.85;0
0.35000000000000003;28.4;57.89;0
0.35100000000000003;28.46;57.89;0
0.352;28.46;57.89;0
0.353;28.43;57.89;0
0.354;28.36;57.89;0
0.355;28.33;57.89;0
0.356;28.34;57.89;0
0.357;28.39;57.89;0
0.358;28.44;57.89;0
0.359;28.48;57.89;0
0.36;28.48;57.89;0
0.361;28.44;57.89;0
0.362;28.36;57.92;0
0.363;28.35;57.95;0
0.364;28.33;57.95;0
0.365;28.38;57.95;0
0.366;28.43;57.95;0
0.367;28.46;57.95;0
